protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who
prot-1939-urtima-ak--22,0,0,,,metadata,
prot-1939-urtima-ak--22,0,2,,,metadata,
prot-1939-urtima-ak--22,0,3,,,metadata,
prot-1939-urtima-ak--22,0,5,,,metadata,
prot-1939-urtima-ak--22,0,8,,,metadata,
prot-1939-urtima-ak--22,0,10,,,metadata,
prot-1939-urtima-ak--22,0,12,,,metadata,
prot-1939-urtima-ak--22,0,19,,,metadata,
prot-1939-urtima-ak--22,1,0,,,metadata,
prot-1939-urtima-ak--22,1,2,,,metadata,
prot-1939-urtima-ak--22,1,3,,,metadata,
prot-1939-urtima-ak--22,1,9,,,metadata,
prot-1939-urtima-ak--22,2,0,,,metadata,
prot-1939-urtima-ak--22,2,1,,,metadata,
prot-1939-urtima-ak--22,2,5,,,metadata,
prot-1939-urtima-ak--22,2,7,,,metadata,
prot-1939-urtima-ak--22,2,10,,,metadata,
prot-1939-urtima-ak--22,2,11,,,metadata,
prot-1939-urtima-ak--22,2,12,,,metadata,
prot-1939-urtima-ak--22,3,0,,,metadata,
prot-1939-urtima-ak--22,3,2,,,metadata,
prot-1939-urtima-ak--22,3,6,,,metadata,
prot-1939-urtima-ak--22,3,8,,,metadata,
prot-1939-urtima-ak--22,3,12,,,metadata,
prot-1939-urtima-ak--22,4,0,,,metadata,
prot-1939-urtima-ak--22,4,1,,,metadata,
prot-1939-urtima-ak--22,4,10,,8f6bb79aaba3167f,speech_start,Oscar Werner
prot-1939-urtima-ak--22,5,0,,,metadata,
prot-1939-urtima-ak--22,6,0,,,metadata,
prot-1939-urtima-ak--22,6,4,,8f6bb79aaba3167f,speech_start,Torgil von Seth
