protocol_id,page,cb_ix,tb_ix,pattern,segmentation,who,id
prot-1957--ak--2,0,0,-1,,metadata,,
prot-1957--ak--2,0,2,-1,,metadata,,
prot-1957--ak--2,0,4,-1,,metadata,,
prot-1957--ak--2,0,5,-1,,metadata,,
prot-1957--ak--2,0,6,-1,,metadata,,
prot-1957--ak--2,0,8,-1,,metadata,,
prot-1957--ak--2,0,9,-1,,metadata,,
prot-1957--ak--2,0,10,-1,,metadata,,
prot-1957--ak--2,2,0,-1,,metadata,,
prot-1957--ak--2,2,1,-1,,metadata,,
prot-1957--ak--2,2,4,-1,,metadata,,
prot-1957--ak--2,2,5,-1,,metadata,,
prot-1957--ak--2,3,0,-1,,metadata,,
prot-1957--ak--2,3,1,-1,,metadata,,
prot-1957--ak--2,4,0,-1,,metadata,,
prot-1957--ak--2,4,1,-1,,metadata,,
prot-1957--ak--2,5,0,-1,,metadata,,
prot-1957--ak--2,5,1,-1,,metadata,,
prot-1957--ak--2,6,0,-1,,metadata,,
prot-1957--ak--2,6,1,-1,,metadata,,
prot-1957--ak--2,7,0,-1,,metadata,,
prot-1957--ak--2,7,1,-1,,metadata,,
prot-1957--ak--2,8,0,-1,,metadata,,
prot-1957--ak--2,8,1,-1,,metadata,,
prot-1957--ak--2,9,0,-1,,metadata,,
prot-1957--ak--2,9,1,-1,,metadata,,
prot-1957--ak--2,10,0,-1,,metadata,,
prot-1957--ak--2,10,1,-1,,metadata,,
prot-1957--ak--2,11,0,-1,,metadata,,
prot-1957--ak--2,11,1,-1,,metadata,,
prot-1957--ak--2,11,5,0,f0d538d10bda4e34,speech_start,bertil_ohlin_5e1982,prot-1957--ak--2-bertil_ohlin_5e1982--1
prot-1957--ak--2,11,5,0,0ba23c147c1beed8,speech_start,bertil_ohlin_5e1982,prot-1957--ak--2-bertil_ohlin_5e1982--2
prot-1957--ak--2,12,0,-1,,metadata,,
prot-1957--ak--2,13,0,-1,,metadata,,
prot-1957--ak--2,13,1,-1,,metadata,,
prot-1957--ak--2,14,0,-1,,metadata,,
prot-1957--ak--2,14,1,-1,,metadata,,
prot-1957--ak--2,15,0,-1,,metadata,,
prot-1957--ak--2,15,1,-1,,metadata,,
prot-1957--ak--2,16,0,-1,,metadata,,
prot-1957--ak--2,16,1,-1,,metadata,,
prot-1957--ak--2,16,7,-1,,metadata,,
prot-1957--ak--2,17,0,-1,,metadata,,
prot-1957--ak--2,17,1,-1,,metadata,,
prot-1957--ak--2,18,0,-1,,metadata,,
prot-1957--ak--2,18,1,-1,,metadata,,
prot-1957--ak--2,19,0,-1,,metadata,,
prot-1957--ak--2,19,1,-1,,metadata,,
prot-1957--ak--2,20,0,-1,,metadata,,
prot-1957--ak--2,20,1,-1,,metadata,,
prot-1957--ak--2,21,0,-1,,metadata,,
prot-1957--ak--2,21,1,-1,,metadata,,
prot-1957--ak--2,22,0,-1,,metadata,,
prot-1957--ak--2,22,1,-1,,metadata,,
prot-1957--ak--2,22,6,-1,,metadata,,
prot-1957--ak--2,23,0,-1,,metadata,,
prot-1957--ak--2,23,1,-1,,metadata,,
prot-1957--ak--2,24,0,-1,,metadata,,
prot-1957--ak--2,24,1,-1,,metadata,,
prot-1957--ak--2,24,4,-1,,metadata,,
prot-1957--ak--2,24,6,0,f0d538d10bda4e34,speech_start,leif_cassel_d53b7d,prot-1957--ak--2-leif_cassel_d53b7d--1
prot-1957--ak--2,24,6,0,0ba23c147c1beed8,speech_start,leif_cassel_d53b7d,prot-1957--ak--2-leif_cassel_d53b7d--2
prot-1957--ak--2,25,0,-1,,metadata,,
prot-1957--ak--2,25,1,-1,,metadata,,
prot-1957--ak--2,26,0,-1,,metadata,,
prot-1957--ak--2,26,1,-1,,metadata,,
prot-1957--ak--2,27,0,-1,,metadata,,
prot-1957--ak--2,27,1,-1,,metadata,,
prot-1957--ak--2,28,0,-1,,metadata,,
prot-1957--ak--2,28,1,-1,,metadata,,
prot-1957--ak--2,29,0,-1,,metadata,,
prot-1957--ak--2,29,1,-1,,metadata,,
prot-1957--ak--2,30,0,-1,,metadata,,
prot-1957--ak--2,30,1,-1,,metadata,,
prot-1957--ak--2,31,0,-1,,metadata,,
